initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,repeats,success_rate,settled_count,final_gap_mean_m,final_gap_std_m,delta_gap_mean_m,delta_gap_std_m,settle_time_mean_s,settle_time_std_s,final_lead_speed_mean_mps,final_ego_speed_mean_mps
8.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
8.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
9.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
9.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
10.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
10.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
11.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
11.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
12.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
12.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
13.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
13.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
14.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
14.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
15.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
15.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
16.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
16.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
17.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
17.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
18.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
18.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
19.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
19.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
20.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
20.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
21.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
21.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
22.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
22.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
23.0,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
23.5,2.0,5.0,1,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan
