repeat_idx,case_idx,initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,final_gap_m,delta_gap_m,final_lead_speed_mps,final_ego_speed_mps,settled,collision,settle_time_s,ticks_executed,spawn_ok,error
0,1,8.0,2.0,5.0,-0.04708072219748871,-8.047080722197489,3.3435477261253777,3.0834144844618825,0,1,nan,75,1,
0,2,8.5,2.0,5.0,-0.05692652302480106,-8.556926523024801,3.4104536870452797,3.006774818159529,0,1,nan,81,1,
0,3,9.0,2.0,5.0,-0.054416334003571265,-9.054416334003571,3.410833752782626,3.0066764076056947,0,1,nan,81,1,
0,4,9.5,2.0,5.0,-0.050726689488044485,-9.550726689488044,3.4892712907600667,2.9171153511874013,0,1,nan,87,1,
0,5,10.0,2.0,5.0,-0.05968315931024115,-10.059683159310241,3.4758860335319453,2.9144256676236577,0,1,nan,87,1,
0,6,10.5,2.0,5.0,-0.0565042892320351,-10.556504289232034,3.5490863596349254,2.851688047094064,0,1,nan,93,1,
0,7,11.0,2.0,5.0,-0.05423589471894985,-11.05423589471895,3.5844900949477103,2.8592998058015806,0,1,nan,93,1,
0,8,11.5,2.0,5.0,-0.05954675236725926,-11.55954675236726,3.672773490016966,2.7140389326786525,0,1,nan,99,1,
0,9,12.0,2.0,5.0,-0.05358770974507987,-12.05358770974508,3.380233115546701,3.1247606421818017,0,1,nan,100,1,
0,10,12.5,2.0,5.0,-0.04734880610882097,-12.547348806108822,3.4476373738269466,3.0487220607863468,0,1,nan,106,1,
0,11,13.0,2.0,5.0,-0.05545418528201651,-13.055454185282017,3.438473605862297,3.045534612771873,0,1,nan,106,1,
0,12,13.5,2.0,5.0,-0.05074591884568491,-13.550745918845685,3.5424148953678802,2.9807147910551137,0,1,nan,112,1,
0,13,14.0,2.0,5.0,-0.03527225199743089,-14.03527225199743,3.5242850195649504,2.95832923733591,0,1,nan,112,1,
0,14,14.5,2.0,5.0,-0.06868443705954519,-14.568684437059545,3.7046289871193863,2.744072637672873,0,1,nan,118,1,
0,15,15.0,2.0,5.0,-0.07697898719133889,-15.076978987191339,3.7032669023528944,2.742315199684497,0,1,nan,118,1,
0,16,15.5,2.0,5.0,-0.04662229813461671,-15.546622298134617,3.4174726860865654,3.1596409624213084,0,1,nan,125,1,
0,17,16.0,2.0,5.0,-0.039205950801804335,-16.039205950801804,3.4035155173332314,3.1590021680355087,0,1,nan,125,1,
0,18,16.5,2.0,5.0,-0.05218241200671958,-16.55218241200672,3.536831435755047,2.983716810654239,0,1,nan,131,1,
0,19,17.0,2.0,5.0,-0.03561893674375227,-17.035618936743752,3.480617003206531,3.0834906034824296,0,1,nan,131,1,
0,20,17.5,2.0,5.0,-0.04596610160094006,-17.54596610160094,3.630067366090333,2.8892137486438725,0,1,nan,137,1,
0,21,18.0,2.0,5.0,-0.07834494437864681,-18.078344944378646,3.726217251953734,2.7696011347575267,0,1,nan,137,1,
0,22,18.5,2.0,5.0,-0.061055487199100256,-18.5610554871991,3.733258523026301,2.779925410148336,0,1,nan,143,1,
0,23,19.0,2.0,5.0,-0.042512263598945665,-19.042512263598944,3.435579189749857,3.1868184674677016,0,1,nan,144,1,
0,24,19.5,2.0,5.0,-0.05078867281155297,-19.550788672811553,3.5581336818765674,3.0097306974816393,0,1,nan,150,1,
0,25,20.0,2.0,5.0,-0.0548136430755104,-20.054813643075512,3.5021575871898776,3.10825178846007,0,1,nan,150,1,
0,26,20.5,2.0,5.0,-0.044521835298296786,-20.544521835298298,3.6511403811406713,2.9143174756704133,0,1,nan,156,1,
0,27,21.0,2.0,5.0,-0.032056948204798985,-21.032056948204797,3.5738100425558366,3.023859834135955,0,1,nan,157,1,
0,28,21.5,2.0,5.0,0.3434305313829702,-21.15656946861703,1.7074739952155875,4.860998695836724,0,0,nan,160,1,
0,29,22.0,2.0,5.0,0.24949314536337752,-21.750506854636622,1.707355393809855,4.848065679058855,0,0,nan,160,1,
0,30,22.5,2.0,5.0,1.2483550656164981,-21.251644934383503,1.7041140872367273,4.847430625552402,0,0,nan,160,1,
0,31,23.0,2.0,5.0,1.2352535211904323,-21.764746478809567,1.7045856571767217,4.848820726700902,0,0,nan,160,1,
0,32,23.5,2.0,5.0,2.2416956553122693,-21.25830434468773,1.7048310687269939,4.8480571428496715,0,0,nan,160,1,
0,33,24.0,2.0,5.0,2.2483663618569727,-21.751633638143026,1.704841861105148,4.848485094884702,0,0,nan,160,1,
0,34,24.5,2.0,5.0,3.273670839998486,-21.226329160001512,1.707321068724583,4.847885170559859,0,0,nan,160,1,
0,35,25.0,2.0,5.0,3.242749196628804,-21.757250803371196,1.7074031990567156,4.84805646613221,0,0,nan,160,1,
0,36,25.5,2.0,5.0,4.348910025059775,-21.151089974940227,1.7074374548237845,4.860459515515733,0,0,nan,160,1,
0,37,26.0,2.0,5.0,4.299785910444179,-21.70021408955582,1.7073273887231515,4.848760167601459,0,0,nan,160,1,
0,38,26.5,2.0,5.0,5.236081856384324,-21.263918143615676,1.7032688562016243,4.848063298091706,0,0,nan,160,1,
0,39,27.0,2.0,5.0,5.234838427394269,-21.76516157260573,1.7072398719301938,4.848444963493551,0,0,nan,160,1,
0,40,27.5,2.0,5.0,6.312010262279738,-21.18798973772026,1.707244657712038,4.84876016762885,0,0,nan,160,1,
